id,original_card,display_name,art_file,crop_x,crop_y,crop_w,crop_h,theme,category,qty,flavor,notes
the-scarab-god,The Scarab God,"Khet, Devourer of Names",,,,,,,,1,,
wilhelt-the-rotcleaver,"Wilhelt, the Rotcleaver",Vessel-Warden Osk,,,,,,,,1,The vats never empty. The vats never sleep.,
archon-of-cruelty,Archon of Cruelty,,,,,,,,,1,,
swords-to-plowshares,Swords to Plowshares,,,,,,,,,1,,
counterspell,Counterspell,,,,,,,,,1,,
lightning-bolt,Lightning Bolt,,,,,,,,,1,,
llanowar-elves,Llanowar Elves,,,,,,,,,1,,
sol-ring,Sol Ring,,,,,,,,,1,,
atraxa-praetors-voice,"Atraxa, Praetors' Voice",,,,,,,,,1,,
delver-of-secrets,Delver of Secrets // Insectile Aberration,,,,,,,,,1,,
swamp,Swamp,,,,,,,,,12,,
